Airline,Flight Number,Aircraft Company,Origin,Destination,Arrival Time,Departure Time,Flight Duration,Flight Stops,Carbon Emission,Flight Price,Date
Air India,AI 2897,Airbus A320neo,Bengaluru,Delhi,8:20 AM,7:55 PM,11 hr 35 min,1 stop,167 kg CO2e,13938,"Thu, Nov 28"
Air India,AI 2897,Airbus A320neo,Bengaluru,Delhi,8:20 AM,12:40 PM,4 hr 20 min,1 stop,167 kg CO2e,13980,"Thu, Nov 28"
IndiGo,6E 6923,Airbus A320neo,Bengaluru,Delhi,4:55 AM,9:55 AM,5 hr,1 stop,146 kg CO2e,14080,"Thu, Nov 28"
IndiGo,6E 575,Airbus A320neo,Bengaluru,Delhi,5:00 AM,10:55 AM,5 hr 55 min,1 stop,154 kg CO2e,14095,"Thu, Nov 28"
IndiGo,6E 6892,Airbus A320neo,Bengaluru,Delhi,1:10 PM,6:15 PM,5 hr 5 min,1 stop,150 kg CO2e,14199,"Thu, Nov 28"
Akasa Air,QP 1359,Boeing 737MAX 8 Passenger,Bengaluru,Delhi,5:00 AM,7:50 AM,2 hr 50 min,Nonstop,117 kg CO2e,14382,"Thu, Nov 28"
IndiGo,6E 217,Airbus A320,Bengaluru,Delhi,5:35 AM,11:25 AM,5 hr 50 min,1 stop,182 kg CO2e,14444,"Thu, Nov 28"
SpiceJet,SG 136,Boeing 737,Bengaluru,Delhi,5:55 AM,8:45 AM,2 hr 50 min,Nonstop,185 kg CO2e,14629,"Thu, Nov 28"
IndiGo,6E 6491,Airbus A321neo,Bengaluru,Delhi,12:40 PM,5:40 PM,5 hr,1 stop,139 kg CO2e,14630,"Thu, Nov 28"
IndiGo,6E 408,Airbus A321neo,Bengaluru,Delhi,5:15 AM,10:55 AM,5 hr 40 min,1 stop,148 kg CO2e,14645,"Thu, Nov 28"
"Air India Express, Air India",IX 2870,Boeing 737,Bengaluru,Delhi,7:50 AM,12:40 PM,4 hr 50 min,1 stop,178 kg CO2e,14951,"Thu, Nov 28"
"Air India Express, Air India",IX 2870,Boeing 737,Bengaluru,Delhi,7:50 AM,12:40 PM,4 hr 50 min,1 stop,178 kg CO2e,15009,"Thu, Nov 28"
IndiGo,6E 438,Airbus A321neo,Bengaluru,Delhi,9:20 AM,2:30 PM,5 hr 10 min,1 stop,160 kg CO2e,15189,"Thu, Nov 28"
Air India,AI 503,Airbus A320neo,Bengaluru,Delhi,5:15 PM,8:15 PM,3 hr,Nonstop,139 kg CO2e,15229,"Thu, Nov 28"
"Air India Express, Air India",IX 2754,Boeing 737,Bengaluru,Delhi,2:50 PM,7:55 PM,5 hr 5 min,1 stop,178 kg CO2e,15534,"Thu, Nov 28"
Air India,AI 511,Airbus A320neo,Bengaluru,Delhi,3:20 PM,6:30 PM,3 hr 10 min,Nonstop,139 kg CO2e,15544,"Thu, Nov 28"
Air India Express,IX 1169,Boeing 737MAX 8 Passenger,Bengaluru,Delhi,10:25 AM,1:20 PM,2 hr 55 min,Nonstop,154 kg CO2e,15949,"Thu, Nov 28"
IndiGo,6E 897,Airbus A320neo,Bengaluru,Delhi,12:30 PM,5:30 PM,5 hr,1 stop,166 kg CO2e,15949,"Thu, Nov 28"
Air India,AI 2820,Airbus A320neo,Bengaluru,Delhi,5:30 PM,8:15 PM,2 hr 45 min,Nonstop,139 kg CO2e,16069,"Thu, Nov 28"
"Air India Express, Air India",IX 2754,Boeing 737,Bengaluru,Delhi,2:50 PM,8:20 PM,5 hr 30 min,1 stop,178 kg CO2e,16426,"Thu, Nov 28"
Air India,AI 561,Airbus A320neo,Bengaluru,Delhi,5:50 AM,8:05 PM,14 hr 15 min,1 stop,187 kg CO2e,16589,"Thu, Nov 28"
Air India,AI 564,Airbus A320neo,Bengaluru,Delhi,2:00 PM,8:05 PM,6 hr 5 min,1 stop,187 kg CO2e,16589,"Thu, Nov 28"
Air India,AI 2808,Airbus A320neo,Bengaluru,Delhi,8:00 AM,10:45 AM,2 hr 45 min,Nonstop,139 kg CO2e,16726,"Thu, Nov 28"
